"Zaman damgası","What is your gender?","What is your age ?","Please enter your department ? (STAT, METE, ME etc.)","What is your faculty ?","What is your educational level ?","What is your CGPA ? (Please CHOOSE ""pass the question"" if you are a PREPARATION student.)","What is your individual monthly income ? (TL.)","How happy do you feel right now ?","How do you feel about the department you are in ?","How happy are you with your monthly income ?","How happy are you with the faculty members working in your department ?","How do you feel about living in Ankara ?","How do you feel about the online courses during the pandemic process ?","How do you feel about your social environment ?","How do you feel about activities that your university offers you ? [Sport Facilities]","How do you feel about activities that your university offers you ? [Spring Fest]","How do you feel about activities that your university offers you ? [University Clubs]","How do you feel about activities that your university offers you ? [University Cafeteria]","Please mark the most appropriate options: [I mostly think about past.]","Please mark the most appropriate options: [I like dark areas.]","Please mark the most appropriate options: [I mostly spend time with myself.]","Please mark the most appropriate options: [I mostly rely on people.]","Please mark the most appropriate options: [I rarely participate in social activities.]","Please mark the most appropriate options: [I avoid from communicating with strangers.]","Please mark the most appropriate options: [I always feel exhausted.]","Please mark the most appropriate options: [I want to change activities that I do in my leisure time.]","Please mark the most appropriate options: [I am happy with my appearance.]","Please mark the most appropriate options: [I am a pessimistic person. (I always see the bad side of the events.)]"
"2021/12/21 2:43:41 ÖS GMT+2","Male","21 - 25","STAT","Faculty of Arts and Sciences","Graduate","2.50 – 2.99","0.00 – 999","Unhappy","Happy","Very Unhappy","Happy","Unhappy","Moderately Happy","Unhappy","Happy","Moderately Happy","Verry Happy","Unhappy","Neutral","Disagree","Neutral","Neutral","Disagree","Neutral","Disagree","Agree","Neutral","Neutral"
"2021/12/21 3:42:36 ÖS GMT+2","Female","21 - 25","Chem","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Unhappy","Moderately Happy","Unhappy","Happy","Happy","Unhappy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Strongly Agree","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Agree","Strongly Disagree"
"2021/12/21 4:43:15 ÖS GMT+2","Female","21 - 25","STAT","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1000 – 1499","Happy","Happy","Happy","Happy","Verry Happy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Strongly Disagree","Agree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Strongly Disagree"
"2021/12/21 5:18:34 ÖS GMT+2","Male","18 - 21","CE","Faculty of Engineering","Undergraduate","2.50 – 2.99","0.00 – 999","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Unhappy","Very Unhappy","Unhappy","Unhappy","Happy","Moderately Happy","Happy","Disagree","Neutral","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Disagree"
"2021/12/21 6:03:22 ÖS GMT+2","Female","21 - 25","Biol","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","1500 – 1999","Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Unhappy","Happy","Moderately Happy","Moderately Happy","Happy","Very Unhappy","Strongly Agree","Neutral","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Strongly Agree"
"2021/12/21 6:09:42 ÖS GMT+2","Male","18 - 21","GEOE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Very Unhappy","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Verry Happy","Very Unhappy","Happy","Very Unhappy","Agree","Neutral","Agree","Neutral","Disagree","Disagree","Strongly Agree","Neutral","Neutral","Agree"
"2021/12/21 6:17:54 ÖS GMT+2","Female","21 - 25","ECE","Faculty of Education","Undergraduate","2.50 – 2.99","1500 – 1999","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Agree","Strongly Disagree","Neutral","Neutral","Agree","Disagree","Neutral","Agree","Agree","Disagree"
"2021/12/21 6:28:44 ÖS GMT+2","Female","21 - 25","Math","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Happy","Happy","Happy","Happy","Verry Happy","Verry Happy","Unhappy","Disagree","Disagree","Neutral","Agree","Agree","Strongly Disagree","Disagree","Neutral","Agree","Strongly Disagree"
"2021/12/21 6:47:39 ÖS GMT+2","Female","21 - 25","Biol","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Moderately Happy","Unhappy","Happy","Moderately Happy","Verry Happy","Unhappy","Happy","Moderately Happy","Verry Happy","Happy","Unhappy","Neutral","Disagree","Agree","Disagree","Neutral","Disagree","Agree","Agree","Neutral","Neutral"
"2021/12/21 6:50:31 ÖS GMT+2","Male","21 - 25","BİOL","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1000 – 1499","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Happy","Unhappy","Happy","Happy","Moderately Happy","Happy","Moderately Happy","Neutral","","Agree","Neutral","Disagree","Neutral","","Agree","Neutral","Disagree"
"2021/12/21 6:51:38 ÖS GMT+2","Male","21 - 25","Biol","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","0.00 – 999","Unhappy","Very Unhappy","Very Unhappy","Unhappy","Happy","Moderately Happy","Very Unhappy","Very Unhappy","Verry Happy","Verry Happy","Moderately Happy","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Neutral","Disagree","Agree","Agree","Agree","Disagree"
"2021/12/21 6:56:14 ÖS GMT+2","Female","18 - 21","BIOL","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1000 – 1499","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Very Unhappy","Unhappy","Happy","Unhappy","Moderately Happy","Unhappy","Agree","Neutral","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Strongly Agree","Neutral"
"2021/12/21 6:57:31 ÖS GMT+2","Female","21 - 25","Biol","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Unhappy","Unhappy","Very Unhappy","Unhappy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Neutral","Agree","Disagree","Neutral","Disagree","Disagree","Agree","Neutral","Agree","Neutral"
"2021/12/21 6:58:05 ÖS GMT+2","Female","21 - 25","Biol","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","2500 +","Moderately Happy","Unhappy","Happy","Moderately Happy","Very Unhappy","Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Happy","Happy","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"2021/12/21 6:58:26 ÖS GMT+2","Female","21 - 25","BIOL","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","0.00 – 999","Very Unhappy","Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Happy","Moderately Happy","Verry Happy","Happy","Unhappy","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Strongly Agree","Strongly Agree","Neutral"
"2021/12/21 6:59:21 ÖS GMT+2","Male","18 - 21","Bıol","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Moderately Happy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Very Unhappy","Disagree","Agree","Agree","Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Agree","Disagree"
"2021/12/21 7:02:21 ÖS GMT+2","Female","21 - 25","BIOL","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1000 – 1499","Very Unhappy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Agree","Neutral","Neutral","Disagree","Neutral","Agree","Agree","Agree","Neutral","Neutral"
"2021/12/21 7:07:18 ÖS GMT+2","Male","21 - 25","CE","Faculty of Engineering","Graduate","1.00 – 1.99","1500 – 1999","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Happy","Very Unhappy","Very Unhappy","Very Unhappy","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Neutral","Agree"
"2021/12/21 7:07:56 ÖS GMT+2","Male","21 - 25","Ce","Faculty of Engineering","Undergraduate","2.00 – 2.49","0.00 – 999","Unhappy","Unhappy","Unhappy","Unhappy","Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Disagree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Strongly Agree","Agree","Agree","Strongly Disagree"
"2021/12/21 7:09:25 ÖS GMT+2","Male","18 - 21","CE","Faculty of Engineering","Undergraduate","3.00 – 3.49","2000 – 2499","Moderately Happy","Happy","Happy","Unhappy","Moderately Happy","Very Unhappy","Happy","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Neutral","Neutral","Disagree","Strongly Disagree","Strongly Agree","Neutral","Disagree","Agree","Agree","Disagree"
"2021/12/21 7:11:22 ÖS GMT+2","Male","21 - 25","Ce","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Verry Happy","Unhappy","Disagree","Agree","Agree","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree"
"2021/12/21 7:11:49 ÖS GMT+2","Female","18 - 21","BIOL","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2000 – 2499","Moderately Happy","Happy","Unhappy","Happy","Verry Happy","Unhappy","Moderately Happy","Unhappy","Verry Happy","Moderately Happy","Unhappy","Neutral","Disagree","Agree","Agree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Strongly Disagree"
"2021/12/21 7:12:15 ÖS GMT+2","Male","21 - 25","CHE","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Very Unhappy","Disagree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Neutral"
"2021/12/21 7:18:24 ÖS GMT+2","Male","18 - 21","BIOL","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Moderately Happy","Happy","Unhappy","Moderately Happy","Happy","Very Unhappy","Unhappy","Happy","Unhappy","Unhappy","Unhappy","Disagree","Agree","Strongly Agree","Strongly Disagree","Neutral","Strongly Disagree","Agree","Strongly Agree","Disagree","Strongly Disagree"
"2021/12/21 7:23:07 ÖS GMT+2","Male","21 - 25","Gene","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","1000 – 1499","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Happy","Unhappy","Unhappy","Moderately Happy","Unhappy","Unhappy","Very Unhappy","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Disagree","Agree"
"2021/12/21 7:35:22 ÖS GMT+2","Male","18 - 21","BIOL","Faculty of Arts and Sciences","Graduate","3.00 – 3.49","2500 +","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Very Unhappy","Verry Happy","Moderately Happy","Moderately Happy","Verry Happy","Moderately Happy","Happy","Strongly Agree","Strongly Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Neutral","Agree","Neutral","Disagree"
"2021/12/21 7:42:06 ÖS GMT+2","Female","21 - 25","Biol","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","0.00 – 999","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Happy","Agree","Agree","Agree","Disagree","Agree","Agree","Neutral","Neutral","Agree","Neutral"
"2021/12/21 8:10:11 ÖS GMT+2","Male","21 - 25","CE","Faculty of Engineering","Undergraduate","2.50 – 2.99","1000 – 1499","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Happy","Moderately Happy","Happy","Moderately Happy","Happy","Moderately Happy","Unhappy","Agree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Agree","Neutral"
"2021/12/21 8:19:21 ÖS GMT+2","Female","21 - 25","BIOL","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","1500 – 1999","Moderately Happy","Unhappy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Moderately Happy","Very Unhappy","Neutral","Disagree","Neutral","Disagree","Neutral","Strongly Disagree","Strongly Agree","Agree","Neutral","Neutral"
"2021/12/21 9:31:06 ÖS GMT+2","Male","18 - 21","GENE","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","1500 – 1999","Unhappy","Verry Happy","Moderately Happy","Moderately Happy","Unhappy","Very Unhappy","Happy","","","","Moderately Happy","Disagree","Neutral","Disagree","Disagree","Agree","Agree","Neutral","Disagree","Neutral","Disagree"
"2021/12/22 6:50:44 ÖÖ GMT+2","Male","21 - 25","Ce","Faculty of Engineering","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Unhappy","Verry Happy","Unhappy","Unhappy","Unhappy","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Agree","Disagree"
"2021/12/22 3:48:34 ÖS GMT+2","Male","18 - 21","ARCH","Faculty of Architecture","Undergraduate","2.50 – 2.99","1500 – 1999","Very Unhappy","Unhappy","Happy","Happy","Very Unhappy","Very Unhappy","Happy","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Neutral","Neutral","Disagree","Neutral","Disagree","Neutral","Strongly Agree","Disagree","Strongly Agree","Disagree"
"2021/12/22 4:07:20 ÖS GMT+2","Female","21 - 25","CENG","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Unhappy","Happy","Happy","Verry Happy","Unhappy","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Agree","Strongly Agree","Neutral","Disagree"
"2021/12/22 4:28:04 ÖS GMT+2","Female","21 - 25","Biol","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","1500 – 1999","Very Unhappy","Moderately Happy","Moderately Happy","Happy","Happy","Moderately Happy","Unhappy","Happy","Unhappy","Happy","Unhappy","Agree","Agree","Agree","Neutral","Strongly Agree","Neutral","Agree","Agree","Neutral","Agree"
"2021/12/23 10:37:05 ÖÖ GMT+2","Male","21 - 25","CE","Faculty of Engineering","Undergraduate","1.00 – 1.99","2000 – 2499","Unhappy","Moderately Happy","Unhappy","Unhappy","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Disagree","Neutral","Neutral","Neutral","Disagree"
"2021/12/26 3:03:54 ÖS GMT+2","Female","18 - 21","ENVE","Faculty of Engineering","Undergraduate","Pass the question","0.00 – 999","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Verry Happy","Very Unhappy","Unhappy","Unhappy","Unhappy","Happy","Very Unhappy","Agree","Agree","Strongly Agree","Disagree","Disagree","Disagree","Strongly Agree","Agree","Neutral","Neutral"
"2021/12/26 3:04:38 ÖS GMT+2","Female","18 - 21","FLE","Faculty of Education","Undergraduate","Pass the question","0.00 – 999","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Neutral","Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree"
"2021/12/26 3:07:15 ÖS GMT+2","Female","18 - 21","FLE","Faculty of Education","Undergraduate","Pass the question","","Moderately Happy","Verry Happy","Happy","Verry Happy","Happy","Happy","Verry Happy","Moderately Happy","Happy","Happy","Very Unhappy","Disagree","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Agree","Disagree"
"2021/12/26 3:07:16 ÖS GMT+2","Male","18 - 21","FLE","Faculty of Education","Undergraduate","3.50 – 4.00","0.00 – 999","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Neutral","Disagree"
"2021/12/26 3:11:48 ÖS GMT+2","Female","18 - 21","FLE","Faculty of Education","Undergraduate","Pass the question","0.00 – 999","Unhappy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Agree","Agree","Agree","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral","Neutral"
"2021/12/26 3:14:33 ÖS GMT+2","Male","18 - 21","ELT","Faculty of Education","Undergraduate","Pass the question","2000 – 2499","Moderately Happy","Moderately Happy","Happy","Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Neutral","Neutral","Neutral","Agree"
"2021/12/26 3:15:59 ÖS GMT+2","Female","18 - 21","stat","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1000 – 1499","Unhappy","Unhappy","Unhappy","Unhappy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Verry Happy","Happy","Moderately Happy","Neutral","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Neutral","Strongly Agree","Strongly Disagree","Neutral"
"2021/12/26 3:16:23 ÖS GMT+2","Male","21 - 25","STAT","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1500 – 1999","Happy","Very Unhappy","Moderately Happy","Unhappy","Happy","Very Unhappy","Happy","Happy","Unhappy","Happy","Very Unhappy","Strongly Disagree","Agree","Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree"
"2021/12/26 3:23:39 ÖS GMT+2","Female","18 - 21","STAT","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1500 – 1999","Moderately Happy","Happy","Unhappy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Happy","Happy","Happy","Very Unhappy","Disagree","Agree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree"
"2021/12/26 3:35:52 ÖS GMT+2","Male","18 - 21","STAT","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2000 – 2499","Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","","Disagree","Agree",""
"2021/12/26 3:44:38 ÖS GMT+2","Female","18 - 21","FLE","Faculty of Education","Undergraduate","3.50 – 4.00","0.00 – 999","Moderately Happy","Happy","Very Unhappy","Happy","Verry Happy","Moderately Happy","Moderately Happy","Moderately Happy","Verry Happy","Verry Happy","Unhappy","Agree","Agree","Neutral","Disagree","Agree","Strongly Disagree","Agree","Agree","Agree","Strongly Disagree"
"2021/12/26 3:45:01 ÖS GMT+2","Male","18 - 21","Adm","Faculty of Economic and Administrative Sciences","Undergraduate","3.00 – 3.49","0.00 – 999","Very Unhappy","Verry Happy","Very Unhappy","Happy","Moderately Happy","Very Unhappy","Moderately Happy","Happy","Verry Happy","Happy","Unhappy","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Agree","Neutral","Agree","Strongly Agree","Neutral","Agree"
"2021/12/26 3:47:26 ÖS GMT+2","Male","18 - 21","FLE","Faculty of Education","Undergraduate","Pass the question","1000 – 1499","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Very Unhappy","Happy","Happy","Happy","Happy","Unhappy","Strongly Agree","Agree","Agree","Neutral","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Disagree","Neutral"
"2021/12/26 3:52:44 ÖS GMT+2","Male","18 - 21","CE","Faculty of Engineering","Undergraduate","Pass the question","2000 – 2499","Moderately Happy","Unhappy","Happy","Very Unhappy","Moderately Happy","Unhappy","Verry Happy","Unhappy","Happy","Happy","Happy","Neutral","Agree","Disagree","Agree","Disagree","Disagree","Agree","Neutral","Neutral","Agree"
"2021/12/26 3:54:55 ÖS GMT+2","Male","18 - 21","ECON","Faculty of Economic and Administrative Sciences","Undergraduate","Pass the question","0.00 – 999","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Happy","Moderately Happy","Happy","Moderately Happy;Happy","Happy","Happy","Happy","Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree"
"2021/12/26 3:57:54 ÖS GMT+2","Male","21 - 25","FLE","Faculty of Education","Undergraduate","3.00 – 3.49","2000 – 2499","Happy","Unhappy","Unhappy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Happy","Moderately Happy","Happy","Unhappy","Disagree","Disagree","Agree","Strongly Disagree","Agree","Disagree","Agree","Disagree","Strongly Disagree","Strongly Disagree"
"2021/12/26 4:00:12 ÖS GMT+2","Female","18 - 21","FLE","Faculty of Education","Graduate","3.50 – 4.00","2000 – 2499","Happy","Happy","Happy","Happy","Happy","Unhappy","Happy","Happy","Unhappy","Happy","Happy","Agree","Disagree","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Agree","Disagree"
"2021/12/26 4:04:32 ÖS GMT+2","Male","21 - 25","ID","Faculty of Architecture","Graduate","2.50 – 2.99","1000 – 1499","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Very Unhappy","Verry Happy","Happy","Happy","Unhappy","Very Unhappy","Neutral","Agree","Disagree","Neutral","Disagree","","Agree","Neutral","Neutral","Strongly Disagree"
"2021/12/26 4:05:03 ÖS GMT+2","Male","18 - 21","ID","Faculty of Architecture","Undergraduate","1.00 – 1.99","1500 – 1999","Moderately Happy","Unhappy","Happy","Unhappy","Happy","Happy","Unhappy","Very Unhappy;Verry Happy","Very Unhappy;Verry Happy","Very Unhappy;Verry Happy","Very Unhappy;Verry Happy","Neutral","Disagree","Agree","Agree","Agree","Strongly Disagree","Disagree","Agree","Disagree","Strongly Disagree"
"2021/12/26 4:06:00 ÖS GMT+2","Female","21 - 25","Id","Faculty of Architecture","Undergraduate","2.50 – 2.99","1000 – 1499","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Very Unhappy","Verry Happy","Happy","Happy","Happy","Happy","Moderately Happy","Neutral","Strongly Disagree","Agree","Neutral","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral"
"2021/12/26 4:08:49 ÖS GMT+2","Female","21 - 25","id","Faculty of Architecture","Undergraduate","2.50 – 2.99","1000 – 1499","Moderately Happy","Moderately Happy","Unhappy","Verry Happy","Moderately Happy","Verry Happy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Happy","Strongly Agree","Neutral","Agree","Disagree","Neutral","Agree","Strongly Agree","Agree","Strongly Agree","Agree"
"2021/12/26 4:11:41 ÖS GMT+2","Female","21 - 25","ID","Faculty of Architecture","Undergraduate","2.50 – 2.99","1500 – 1999","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Happy","Happy","Happy","Happy","Moderately Happy","Neutral","Disagree","Disagree","Agree","Strongly Disagree","Disagree","Neutral","Disagree","Neutral","Strongly Disagree"
"2021/12/26 4:18:46 ÖS GMT+2","Male","18 - 21","CHEM","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2000 – 2499","Unhappy","Unhappy","Happy","Moderately Happy","Happy","Unhappy","Verry Happy","Moderately Happy","Verry Happy","Happy","Unhappy;Verry Happy","Disagree","Disagree","Disagree","Agree","Disagree","Strongly Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree"
"2021/12/26 4:19:12 ÖS GMT+2","Female","21 - 25","CRP","Faculty of Architecture","Undergraduate","3.50 – 4.00","1000 – 1499","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Agree","Neutral","Neutral","Agree","Disagree","Disagree","Neutral","Agree","Strongly Disagree","Neutral"
"2021/12/26 4:25:41 ÖS GMT+2","Female","18 - 21","ID","Faculty of Architecture","Undergraduate","3.00 – 3.49","2500 +","Moderately Happy","Verry Happy","Verry Happy","Happy","Verry Happy","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Neutral","Agree","Disagree","Strongly Disagree","Disagree","Neutral","Agree","Agree","Agree","Disagree"
"2021/12/26 4:27:43 ÖS GMT+2","Male","21 - 25","Industrial Design","Faculty of Architecture","Undergraduate","3.50 – 4.00","1500 – 1999","Very Unhappy","Very Unhappy","Happy","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Very Unhappy","Happy","Moderately Happy","Neutral","Disagree","Disagree","Neutral","Agree","Disagree","Agree","Disagree","Neutral","Disagree"
"2021/12/26 4:27:46 ÖS GMT+2","Female","21 - 25","ID","Faculty of Architecture","Undergraduate","3.50 – 4.00","1500 – 1999","Very Unhappy","Very Unhappy","Unhappy","Moderately Happy","Happy","Happy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Unhappy","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Strongly Agree","Agree","Agree","Neutral"
"2021/12/26 4:28:39 ÖS GMT+2","Male","21 - 25","ıd","Faculty of Architecture","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Happy","Moderately Happy","Verry Happy","Happy","Happy","Verry Happy","Happy","Happy","Verry Happy","Unhappy","Neutral","Strongly Agree","Agree","Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Agree","Disagree"
"2021/12/26 4:37:43 ÖS GMT+2","Female","18 - 21","Id","Faculty of Architecture","Undergraduate","3.50 – 4.00","1000 – 1499","Very Unhappy","Very Unhappy","Very Unhappy","Verry Happy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Neutral","Strongly Disagree","Neutral","Strongly Agree","Disagree","Agree","Disagree","Neutral","Agree","Disagree"
"2021/12/26 4:39:07 ÖS GMT+2","Female","18 - 21","ID","Faculty of Architecture","Undergraduate","3.50 – 4.00","1000 – 1499","Very Unhappy","Unhappy","Very Unhappy","Moderately Happy","Happy","Very Unhappy","Happy","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Agree","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Agree","Agree","Disagree"
"2021/12/26 4:46:35 ÖS GMT+2","Female","18 - 21","STAT","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1500 – 1999","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Very Unhappy","Very Unhappy","Verry Happy","Happy","Unhappy","Moderately Happy","Moderately Happy","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Neutral","Disagree","Disagree"
"2021/12/26 4:48:00 ÖS GMT+2","Female","18 - 21","ID","Faculty of Architecture","Undergraduate","3.50 – 4.00","0.00 – 999","Moderately Happy","Moderately Happy","Very Unhappy","Happy","Moderately Happy","Very Unhappy","Moderately Happy","Happy","Moderately Happy","Happy","Unhappy","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Agree","Agree","Agree","Neutral"
